dataset_name,accession,modality,cell_system,organism,n_perturbations_approx,combinatorial,data_access,reachable_from_sandbox,reachability_question
Zhu et al. 2025 — genome-scale CRISPRi Perturb-seq (repo anchor),GSE314342,Perturb-seq (CRISPRi knockdown),Primary human CD4+ T cells,Homo sapiens,~genome-scale (thousands of genes),no,GEO FTP,yes,"Is the Th2->Th1 polarization shift reachable by a non-negative CRISPRi-knockdown mix, and if outside, which genes does the Farkas certificate demand be ACTIVATED?"
Replogle et al. 2020 — direct-guide-capture combinatorial CRISPR screens,GSE146194,"Perturb-seq (CRISPRi + CRISPRa, single & paired guides)",K562 (CML),Homo sapiens,~100s (singles + pairs),yes,GEO FTP,yes,"Do single-gene effect vectors additively predict the measured double-perturbation state, i.e. does the co-perturbation lie in the cone spanned by its singletons (additivity test)?"
Adamson et al. 2016 — UPR Perturb-seq / epistasis,GSE90546,Perturb-seq (CRISPRi knockdown),K562 (CML),Homo sapiens,~90 (UPR branch + epistasis pairs),yes,GEO FTP,yes,Is the UPR-activated state reachable from the unstressed baseline by a non-negative combination of single-gene knockdown effect vectors?
Dixit et al. 2016 — Perturb-seq (TF knockouts),GSE90063,Perturb-seq (Cas9 knockout),BMDCs + K562,Mus musculus; Homo sapiens,~24 TFs,no,GEO FTP,yes,"Is the LPS-stimulated dendritic-cell state reachable by a non-negative combination of TF-knockout effect vectors, or does the certificate flag an activation-only residual?"
Papalexi et al. 2021 — ECCITE-seq (mixscape),GSE153056,CRISPR knockout + surface-protein readout (ECCITE-seq),THP-1 (monocytic),Homo sapiens,~26 immune-checkpoint regulators,no,GEO FTP,yes,Is the IFN-gamma-induced PD-L1-high state reversible by a non-negative knockout combination (joint RNA+protein target direction)?
Srivatsan et al. 2020 — sci-Plex chemical transcriptomics,GSE139944,Small-molecule / chemical perturbation,"A549, K562, MCF7",Homo sapiens; Mus musculus,188 compounds (multi-dose),no,GEO FTP,yes,"Which non-negative drug combination reaches a target cytostatic/differentiation state, and is a desired state outside the single-drug cone?"
LINCS L1000 Connectivity Map — phase I,GSE92742,Small-molecule + shRNA/ORF L1000 signatures,~70+ cell lines,Homo sapiens,"~20,000+ perturbagens (compound + genetic)",no,GEO FTP (also clue.io),yes,Is the reverse of a disease signature reachable by a non-negative combination of drug signatures (signature-reversal drug-combination design)?
LINCS L1000 Connectivity Map — phase II,GSE70138,Small-molecule L1000 signatures,~cell-line panel,Homo sapiens,"~5,000+ compounds",no,GEO FTP (also clue.io),yes,"Extending phase I: which combinable drug signatures span the reverse of a target disease signature, and which residual genes need a genetic (non-drug) modality?"
Joung et al. 2023 — Transcription Factor Atlas of directed differentiation,GSE216463,"ORF overexpression (gain-of-function, non-CRISPR)",Human embryonic stem cells (hESC),Homo sapiens,"~1,800 TFs (3,548 ORF isoforms)",no,GEO FTP,yes,Which non-negative combination of TF-overexpression effect vectors reaches a target differentiated cell state (directed-differentiation recipe on an activation basis)?
Cui et al. 2024 — Immune Dictionary (in vivo cytokine perturbation),GSE202186,Cytokine / ligand perturbation (non-CRISPR),In vivo lymph-node immune cells,Mus musculus,86 cytokines,no,GEO FTP,yes,"Which non-negative cytokine combination reaches a target immune-cell activation state, and is that state outside the single-cytokine cone?"
Datlinger et al. 2017 — CROP-seq,GSE92872,"Perturb-seq (Cas9 knockout, CROP-seq)",Jurkat (CROP-seq) + HEK293T/3T3 (species-mixing control),Homo sapiens; Mus musculus,~29-89 TCR-pathway guides,no,GEO FTP,yes,Is the TCR-stimulated Jurkat activation state reachable by a non-negative combination of TCR-pathway knockout effect vectors?
Tian et al. 2019 — CRISPRi screen in iPSC-derived neurons,GSE124703,Perturb-seq (CRISPRi knockdown),Human iPSC-derived neurons,Homo sapiens,~hundreds (survival + neuronal genes),no,GEO FTP,yes,Is a neurodegeneration-associated transcriptional state reversible toward baseline by a non-negative knockdown combination in neurons?
Perturb-CITE-seq in CD4 Treg/Teff (2024),GSE278572,CRISPR + surface-protein readout (Perturb-CITE-seq),Primary human CD4+ Tregs / Teffs,Homo sapiens,~tens (regulatory-circuit genes),no,GEO FTP,yes,Is the Treg<->Teff state shift reachable by a non-negative knockout combination using a joint RNA+protein target direction?
Replogle et al. 2022 — genome-scale essential-gene Perturb-seq (K562),doi:10.1016/j.cell.2022.05.013,Perturb-seq (CRISPRi knockdown),K562 (CML),Homo sapiens,"1,087 single-gene (essential)",no,CZI VCM S3 (public); was figshare-blocked,yes — IMPLEMENTED (notebook 07),Does the reachability cone geometry transfer across cell types? K562 provides a 2nd human basis for the within- vs cross-cell-type transfer test (843 perturbations shared with RPE1).
Replogle et al. 2022 — genome-scale essential-gene Perturb-seq (RPE1),doi:10.1016/j.cell.2022.05.013,Perturb-seq (CRISPRi knockdown),RPE1 (retinal pigment epithelium),Homo sapiens,"1,534 single-gene (essential)",no,CZI VCM S3 (public); was figshare-blocked,yes — IMPLEMENTED (notebook 07),Third human cell type (non-cancer epithelium): tests whether verdict/recipe are cell-type-invariant vs cell-type-specific.
