key,method,family,authors,year,venue,doi,pmid,citations,measured_effects,feasibility_verdict,certificate,infeasibility,heldout_validation,combinatorial,druggability,input_type,output_type,limitation,one_line_delta,cohort
Liu2011,Structural controllability (minimum driver-node set),Structural network control,"Liu, Slotine & Barabási",2011,Nature,10.1038/nature10011,21562557.0,3298.0,no,partial,partial,no,partial,partial,no,Network STRUCTURE (directed weighted graph); assumes linear time-invariant (LTI) dynamics on the topology,Minimum set of driver nodes that render the LTI system structurally controllable (steerable to any state in principle),Assumes idealized LTI dynamics and full continuous actuation; 'controllable in principle' says nothing about whether a target is reachable with the discrete loss/gain-of-function perturbations actually available,"Our controllability question is concrete and data-grounded — is this measured target inside the cone of achievable measured perturbation combinations? — answered with a certificate, versus an abstract LTI structural-controllability count.",core
Gao2014,Target control of complex networks,Structural network control,"Gao, Liu, Slotine & Barabási",2014,Nature Communications,10.1038/ncomms6415,25388503.0,422.0,no,partial,partial,no,no,partial,no,Network STRUCTURE (directed graph); LTI dynamics assumed; a specified subset of target nodes,"Minimum driver-node set required to control a chosen SUBSET (target set) of nodes, rather than the whole network","Still topology + LTI based; 'target set controllable in principle' does not establish achievability of a measured transition with available perturbations, nor certify infeasibility","We target a measured state vector and test membership in a cone of measured effect generators with a Farkas certificate, instead of counting drivers for structural target-controllability of a node subset under LTI assumptions.",core
Mochizuki2013,Feedback vertex set / determining nodes,Structural network control,"Mochizuki, Fiedler et al.",2013,Journal of Theoretical Biology,10.1016/j.jtbi.2013.06.009,23774067.0,193.0,no,partial,partial,no,no,partial,no,Network STRUCTURE (directed regulatory graph); dynamics assumed to be a general ODE system consistent with the topology,Feedback vertex set — a minimal set of 'determining nodes' whose trajectories uniquely determine the dynamics of the whole network (and thus control/monitor its attractors),Purely structural and dynamics-agnostic; identifies determining nodes but neither uses measured effects nor certifies whether a desired transition is achievable,We replace topology-derived determining nodes with measured effect generators and deliver a convex feasibility/infeasibility certificate for a concrete target transition rather than a structural determination result.,core
Zanudo2015,Stable-motif control of Boolean networks,Boolean attractor control,Zañudo & Albert,2015,PLoS Computational Biology,10.1371/journal.pcbi.1004193,25849586.0,248.0,no,partial,partial,no,partial,partial,no,Hand-built/curated discrete (Boolean) network model of regulatory logic,Attractor/steady-state control set — node interventions (fix ON/OFF) that drive the system to a target attractor,"Requires a correct hand-built Boolean model; controls modeled logic, not measured perturbation effects, and offers no provable-infeasibility certificate for a target transition",We combine MEASURED perturbation effect vectors (not a hand-built Boolean model) into a convex cone and return a Farkas/NNLS feasibility certificate — including a proof that a target lies outside the reachable set — rather than searching a modeled attractor landscape.,core
Zanudo2017,Structure-based (feedback-vertex-set + source) control,Boolean attractor control,"Zañudo, Yang & Albert",2017,Proceedings of the National Academy of Sciences,10.1073/pnas.1617387114,28655847.0,282.0,no,partial,partial,no,partial,partial,no,Network STRUCTURE (directed interaction graph/topology) with nonlinear dynamics assumed,Driver/control node set (feedback vertex set + source nodes) that guarantees convergence to any of the system's natural dynamical attractors,Steers only to attractors the model already possesses and needs the true interaction topology; cannot certify reachability/infeasibility of an arbitrary measured target transition,"Our target is an arbitrary measured differential-expression transition tested against a cone of real effect vectors with a numeric feasibility certificate, not a topology-based guarantee of reaching some pre-existing model attractor.",core
Kim2013,Control kernel of biomolecular regulatory networks,Structural network control,"Kim, Park & Cho",2013,Scientific Reports,10.1038/srep02223,23860463.0,117.0,no,partial,partial,no,partial,partial,no,Hand-built/curated Boolean (logical) regulatory network model,Control kernel — a minimal set of nodes whose fixed states determine (control) the network's steady state / cell fate,Depends on a correct hand-built Boolean model and controls modeled logic rather than measured effects; no feasibility/infeasibility certificate for an arbitrary target,"We derive our minimal intervention set from measured effect vectors via sparse NNLS and back it with a convex feasibility certificate, rather than from the logic of a hand-built Boolean model.",core
Joo2018,Boolean relative dynamic stability of cell states,Boolean attractor control,"Joo, Zhou, Huang & Cho",2018,Scientific Reports,10.1038/s41598-018-30544-0,30104572.0,56.0,no,no,partial,no,partial,partial,no,Hand-built/curated Boolean network model of cell-fate regulation,"Relative dynamic stability of cell states (attractor stability / transition propensities), used to prioritize control interventions between states",Depends on a hand-built Boolean model and reports stability/propensity rather than achievability; no certificate for a measured target transition,Joo et al. rank Boolean-model state stability; we test measured reachability of a specific transition and certify feasibility or prove it lies outside the achievable cone.,core
Marazzi2022,NETISCE (attractor/steady-state steering),Boolean attractor control,"Marazzi, Shah et al.",2022,npj Systems Biology and Applications,10.1038/s41540-022-00231-y,35725577.0,17.0,no,no,no,no,partial,partial,no,Inferred or curated network model + steady-state (RNA/omics) values; simulates dynamics via a signal-flow (SFA-style) propagation,Ranked set of control targets (nodes to perturb) predicted to steer the system from an initial toward a desired attractor/steady state,Prediction/ranking pipeline over an inferred network with simulated dynamics; no measured-effect grounding and no certificate that the target is (or is not) reachable,"We answer reachability with a convex program over measured effect vectors and emit a certificate, whereas NETISCE simulates an inferred network and ranks candidate control sets without any feasibility guarantee.",core
Rukhlenko2022,cSTAR (cell-State Transition Assessment & Regulation),Control from data,"Rukhlenko, Halász, Kholodenko et al.",2022,Nature,10.1038/s41586-022-05194-y,36104561.0,89.0,partial,no,no,no,partial,partial,no,Data-derived: builds a mechanistic signaling/regulatory model and a 'state-transition' vector (STV) from omics + a data-defined cell-state separating surface (SVM),Predicted perturbations / driver signaling nodes that move cells along the state-transition vector between defined cell states,Relies on a fitted mechanistic model and a linear state-transition direction; no convex reachability certificate and no proof when a target is unattainable from available perturbations,"cSTAR fits a mechanistic model and predicts drivers along a state-transition vector; we instead certify whether the transition lies in the cone spanned by MEASURED perturbation effects, returning a provable verdict and an activation certificate when it does not.",core
Ronquist2017,Control-theoretic cellular reprogramming (LTI from Hi-C/time-series),Control from data,"Ronquist, Patterson, Rajapakse et al.",2017,Proceedings of the National Academy of Sciences,10.1073/pnas.1712350114,29078370.0,41.0,partial,partial,partial,no,partial,partial,no,Data-derived linear time-invariant (LTI) model built from time-series and Hi-C / genome-architecture data,Control input (set/combination of genes) computed via control theory to drive the LTI cell-state model toward a target expression state,"Reachability holds only for the fitted linear surrogate; assumes LTI dynamics and full actuation, so it cannot certify achievability with the discrete real perturbations nor prove infeasibility",We avoid fitting a dynamical (LTI) surrogate: reachability is decided directly on measured perturbation effect vectors as a convex-cone membership test with a Farkas certificate.,core
